year_month,year,month,passengers
1949-01,1949,1,112
1949-02,1949,2,118
1949-03,1949,3,132
1949-04,1949,4,129
1949-05,1949,5,121
1949-06,1949,6,135
1949-07,1949,7,148
1949-08,1949,8,148
1949-09,1949,9,136
1949-10,1949,10,119
1949-11,1949,11,104
1949-12,1949,12,118
1950-01,1950,1,115
1950-02,1950,2,126
1950-03,1950,3,141
1950-04,1950,4,135
1950-05,1950,5,125
1950-06,1950,6,149
1950-07,1950,7,170
1950-08,1950,8,170
1950-09,1950,9,158
1950-10,1950,10,133
1950-11,1950,11,114
1950-12,1950,12,140
1951-01,1951,1,145
1951-02,1951,2,150
1951-03,1951,3,178
1951-04,1951,4,163
1951-05,1951,5,172
1951-06,1951,6,178
1951-07,1951,7,199
1951-08,1951,8,199
1951-09,1951,9,184
1951-10,1951,10,162
1951-11,1951,11,146
1951-12,1951,12,166
1952-01,1952,1,171
1952-02,1952,2,180
1952-03,1952,3,193
1952-04,1952,4,181
1952-05,1952,5,183
1952-06,1952,6,218
1952-07,1952,7,230
1952-08,1952,8,242
1952-09,1952,9,209
1952-10,1952,10,191
1952-11,1952,11,172
1952-12,1952,12,194
1953-01,1953,1,196
1953-02,1953,2,196
1953-03,1953,3,236
1953-04,1953,4,235
1953-05,1953,5,229
1953-06,1953,6,243
1953-07,1953,7,264
1953-08,1953,8,272
1953-09,1953,9,237
1953-10,1953,10,211
1953-11,1953,11,180
1953-12,1953,12,201
1954-01,1954,1,204
1954-02,1954,2,188
1954-03,1954,3,235
1954-04,1954,4,227
1954-05,1954,5,234
1954-06,1954,6,264
1954-07,1954,7,302
1954-08,1954,8,293
1954-09,1954,9,259
1954-10,1954,10,229
1954-11,1954,11,203
1954-12,1954,12,229
1955-01,1955,1,242
1955-02,1955,2,233
1955-03,1955,3,267
1955-04,1955,4,269
1955-05,1955,5,270
1955-06,1955,6,315
1955-07,1955,7,364
1955-08,1955,8,347
1955-09,1955,9,312
1955-10,1955,10,274
1955-11,1955,11,237
1955-12,1955,12,278
1956-01,1956,1,284
1956-02,1956,2,277
1956-03,1956,3,317
1956-04,1956,4,313
1956-05,1956,5,318
1956-06,1956,6,374
1956-07,1956,7,413
1956-08,1956,8,405
1956-09,1956,9,355
1956-10,1956,10,306
1956-11,1956,11,271
1956-12,1956,12,306
1957-01,1957,1,315
1957-02,1957,2,301
1957-03,1957,3,356
1957-04,1957,4,348
1957-05,1957,5,355
1957-06,1957,6,422
1957-07,1957,7,465
1957-08,1957,8,467
1957-09,1957,9,404
1957-10,1957,10,347
1957-11,1957,11,305
1957-12,1957,12,336
1958-01,1958,1,340
1958-02,1958,2,318
1958-03,1958,3,362
1958-04,1958,4,348
1958-05,1958,5,363
1958-06,1958,6,435
1958-07,1958,7,491
1958-08,1958,8,505
1958-09,1958,9,404
1958-10,1958,10,359
1958-11,1958,11,310
1958-12,1958,12,337
1959-01,1959,1,360
1959-02,1959,2,342
1959-03,1959,3,406
1959-04,1959,4,396
1959-05,1959,5,420
1959-06,1959,6,472
1959-07,1959,7,548
1959-08,1959,8,559
1959-09,1959,9,463
1959-10,1959,10,407
1959-11,1959,11,362
1959-12,1959,12,405
1960-01,1960,1,417
1960-02,1960,2,391
1960-03,1960,3,419
1960-04,1960,4,461
1960-05,1960,5,472
1960-06,1960,6,535
1960-07,1960,7,622
1960-08,1960,8,606
1960-09,1960,9,508
1960-10,1960,10,461
1960-11,1960,11,390
1960-12,1960,12,432
